Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,42.950000,-10.500000,0.000000,Top
C2,10u,C_0805_2012Metric,42.950000,-7.500000,0.000000,Top
C3,22u,C_0805_2012Metric,35.000000,-2.500000,90.000000,Top
C4,22u,C_0805_2012Metric,37.500000,-4.500000,90.000000,Top
C5,22u,C_0805_2012Metric,32.500000,-2.500000,90.000000,Top
C6,4.7u,C_0603_1608Metric,20.000000,-20.000000,0.000000,Top
C7,10u,C_0805_2012Metric,13.000000,-20.000000,0.000000,Top
C8,1u,C_0603_1608Metric,26.500000,-28.000000,180.000000,Top
C9,1u,C_0603_1608Metric,22.500000,-28.000000,180.000000,Top
C10,100n,C_0402_1005Metric,11.990000,-28.500000,0.000000,Top
C11,100n,C_0402_1005Metric,11.980000,-22.500000,0.000000,Top
C12,100n,C_0402_1005Metric,21.500000,-22.500000,180.000000,Top
C13,100n,C_0402_1005Metric,62.520000,-7.500000,180.000000,Top
C14,100n,C_0402_1005Metric,31.500000,-15.500000,180.000000,Top
C15,100n,C_0402_1005Metric,16.480000,-20.000000,0.000000,Top
C16,100n,C_0402_1005Metric,42.930000,-12.500000,0.000000,Top
D1,TJ-S3227,LED_TJ-S3227_RG_3.2x2.7mm,25.500000,-36.000000,0.000000,Top
D2,TJ-S3227,LED_TJ-S3227_RG_3.2x2.7mm,20.500000,-36.000000,0.000000,Top
D3,1N4148WS,D_SOD-323,60.500000,-16.500000,-90.000000,Top
D4,1N4148WS,D_SOD-323,58.000000,-16.500000,-90.000000,Top
D5,1N4148WS,D_SOD-323,58.600000,-31.000000,90.000000,Top
J1,USB_C_IN,USB_C_Receptacle_TYPE-C_16P_PowerMerged,4.900000,-15.000000,-90.000000,Top
J2,USB_C_OUT,USB_C_Receptacle_TYPE-C_16P_PowerMerged,50.000000,-35.050000,0.000000,Top
J3,JST_PH_2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,7.950000,-33.000000,-90.000000,Top
J4,STEMMA_QT,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,15.500000,-4.000000,180.000000,Top
J5,SWD_HDR,PinHeader_1x03_P2.54mm_Vertical,53.000000,-17.500000,0.000000,Top
L1,1.5uH_4.5A,L_Sumida_CDMC6D28_7.25x6.5mm,32.500000,-8.500000,90.000000,Top
Q1,AON7407,DFN-8-1EP_3x3mm_P0.65mm_EP1.6x2.56mm,16.950000,-24.025000,180.000000,Top
Q2,AON7407,DFN-8-1EP_3x3mm_P0.65mm_EP1.6x2.56mm,16.950000,-28.025000,180.000000,Top
Q3,BSS138,SOT-23,26.500000,-20.500000,0.000000,Top
R1,1.2k,R_0402_1005Metric,14.000000,-11.500000,0.000000,Top
R2,5.1k,R_0402_1005Metric,3.500000,-21.500000,0.000000,Top
R3,5.1k,R_0402_1005Metric,7.500000,-21.500000,0.000000,Top
R4,56k,R_0402_1005Metric,48.000000,-28.000000,0.000000,Top
R5,56k,R_0402_1005Metric,52.010000,-28.000000,0.000000,Top
R6,1M,R_0402_1005Metric,11.990000,-30.500000,180.000000,Top
R7,330k,R_0402_1005Metric,11.990000,-32.500000,0.000000,Top
R8,1M,R_0402_1005Metric,11.980000,-24.500000,0.000000,Top
R9,330k,R_0402_1005Metric,11.980000,-26.500000,0.000000,Top
R10,100k,R_0402_1005Metric,21.500000,-24.000000,180.000000,Top
R11,47k,R_0402_1005Metric,21.500000,-25.500000,0.000000,Top
R12,100k,R_0402_1005Metric,15.500000,-9.500000,0.000000,Top
R13,100k,R_0402_1005Metric,25.500000,-10.000000,0.000000,Top
R14,100k,R_0402_1005Metric,46.500000,-17.490000,-90.000000,Top
R15,10k,R_0402_1005Metric,21.000000,-17.010000,90.000000,Top
R16,10k,R_0402_1005Metric,21.000000,-14.500000,90.000000,Top
R17,10k,R_0402_1005Metric,58.500000,-20.490000,90.000000,Top
R18,10k,R_0402_1005Metric,62.500000,-20.490000,90.000000,Top
R19,10k,R_0402_1005Metric,60.500000,-20.490000,90.000000,Top
R20,560,R_0402_1005Metric,25.490000,-30.500000,0.000000,Top
R21,560,R_0402_1005Metric,25.500000,-32.000000,0.000000,Top
R22,560,R_0402_1005Metric,20.490000,-30.500000,0.000000,Top
R23,560,R_0402_1005Metric,20.500000,-32.000000,0.000000,Top
R24,180k,R_0402_1005Metric,42.000000,-5.000000,90.000000,Top
R25,1M,R_0402_1005Metric,40.500000,-5.000000,90.000000,Top
R26,620k,R_0402_1005Metric,39.000000,-5.000000,-90.000000,Top
R27,1k,R_0402_1005Metric,57.500000,-33.500000,0.000000,Top
R28,100k,R_0402_1005Metric,17.500000,-11.500000,0.000000,Top
SW1,BUTTON,SW_SPST_PTS647_Sx50,32.000000,-35.500000,-90.000000,Top
U1,BM8563,SOIC-8_3.9x4.9mm_P1.27mm,59.500000,-11.500000,0.000000,Top
U2,PY32F003F18P6,TSSOP-20_4.4x6.5mm_P0.65mm,36.500000,-22.500000,0.000000,Top
U3,TPS63020DSJR,VSON-14-1EP_3x4.45mm_P0.65mm_EP1.6x4.2mm,38.550000,-8.550000,-90.000000,Top
U4,TP4056,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,15.430000,-15.750000,0.000000,Top
U5,XC6206P332MR,SOT-23,26.500000,-25.000000,0.000000,Top
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,54.500000,-10.000000,90.000000,Top
